,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0.065,800,7,0.00025773048400878906
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.101,900,7,0.00041103363037109375
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.083,1000,7,0.0003209114074707031
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949,0.051,1100,7,0.0004050731658935547
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.048,1200,7,0.0003762245178222656
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.017,1300,7,0.0004601478576660156
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,0.012,1400,7,0.00041675567626953125
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,1500,7,0.000453948974609375
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.038,1600,7,0.000476837158203125
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.057,1700,7,0.0005922317504882812
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953,0.047,1800,7,0.0005319118499755859
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921,0.079,1900,7,0.0005631446838378906
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.109,2000,7,0.0005772113800048828
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.854,0.146,2100,7,0.000701904296875
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.093,2200,7,0.0007040500640869141
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913,0.087,2300,7,0.0008461475372314453
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.133,2400,7,0.0006849765777587891
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.229,2500,7,0.0010921955108642578
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.156,2600,7,0.0008511543273925781
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797,0.203,2700,7,0.0007688999176025391
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787,0.213,2800,7,0.0016169548034667969
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,0.171,2900,7,0.0009050369262695312
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.22,3000,7,0.000843048095703125
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789,0.211,100,8,6.079673767089844e-05
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979,0.021,200,8,0.00014495849609375
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.057,300,8,0.00014495849609375
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.03,400,8,0.0001399517059326172
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,500,8,0.00017189979553222656
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,600,8,0.0003497600555419922
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,700,8,0.0002837181091308594
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972,0.028,800,8,0.0002791881561279297
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.013,900,8,0.0002930164337158203
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,0.014,1000,8,0.00032901763916015625
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.037,1100,8,0.0003540515899658203
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,1200,8,0.00038504600524902344
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961,0.039,1300,8,0.0003979206085205078
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944,0.056,1400,8,0.00042510032653808594
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913,0.087,1500,8,0.00045013427734375
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.072,1600,8,0.0004711151123046875
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864,0.136,1700,8,0.0005581378936767578
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832,0.168,1800,8,0.0006406307220458984
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841,0.159,1900,8,0.0005600452423095703
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,2000,8,0.000598907470703125
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.109,2100,8,0.0006031990051269531
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.854,0.146,2200,8,0.0006172657012939453
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,0.238,2300,8,0.0006651878356933594
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744,0.256,2400,8,0.0008540153503417969
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.24,2500,8,0.0007622241973876953
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695,0.305,2600,8,0.0008821487426757812
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767,0.233,2700,8,0.0007586479187011719
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859,0.141,2800,8,0.0007848739624023438
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,0.166,2900,8,0.0010466575622558594
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.106,3000,8,0.0011730194091796875
240,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.888,0.109,100,9,6.389617919921875e-05
